Timestep,rainfall14,rainfall-daily
1,18.33,0
2,14.93,22.5
3,33.93,5.5
4,39.43,28.175
5,67.6,27
6,88.6,8.25
7,96.85,0.55
8,97.4,4.15
9,101.55,0
10,101.55,3.9
11,104.08,0
12,100.13,2.8
13,102.93,13
14,115.93,3.75
15,119.58,2
16,121.58,10.5
17,109.58,0.025
18,104.1,5.575
19,81.5,5.075
20,59.58,0
21,51.33,6.25
22,57.03,0.375
23,53.25,0.333333333
24,53.58,0.875
25,50.56,0
26,50.56,0.5
27,48.26,12.5
28,47.76,2.75
29,46.76,2.5
30,47.26,4.75
31,41.51,0
32,41.48,7.975
33,43.88,1.375
34,40.18,1.375
35,41.56,1.875
36,37.18,0.5
37,37.31,8.25
38,45.23,1
39,45.35,5.5
40,50.85,7.833333333
41,58.18,17.58333333
42,63.27,23.58333333
43,84.1,18.875
44,100.48,46.875
45,142.6,16.75
46,159.35,13.5
47,164.88,13
48,176.5,2.125
49,177.25,9.8125
50,185.19,19.4375
51,204.13,5.3125
52,201.19,2.5625
53,202.75,0
54,197.25,0.75
55,190.17,15.725
56,188.31,18.725
57,183.45,14.375
58,178.95,9.625
59,141.7,25.525
60,150.48,23.75
61,160.73,23.125
62,170.85,14.6
63,183.33,11
64,184.51,1
65,166.08,15.95
66,176.71,14.1
67,188.25,19.3
68,207.55,17.8
69,224.6,2.8
70,211.68,10.1
71,203.05,17.3
72,205.98,3.8
73,200.15,2.2
74,176.83,2.3
75,155.38,2.62
76,134.87,1.8
77,122.07,8.7
78,119.77,10.3
79,129.07,10.72
80,123.84,8.64
81,118.38,2.753333333
82,101.83,3.133333333
83,87.17,3.693333333
84,88.06,16.3
85,94.26,13.8
86,90.76,27.2
87,114.16,5.84
88,117.8,2.627
89,118.13,13.05366667
90,128.56,6.733666667
91,133.49,12.45366667
92,137.25,6.08
93,133.03,5.94
94,128.25,12
95,131.61,1.875
96,130.73,17.3
97,144.9,6.16
98,147.36,4.005714286
99,135.07,10.92571429
100,132.19,9.385714286
101,114.38,11.08571429
102,119.63,13.75238095
103,130.75,18.45238095
104,136.15,6.752380952
105,136.17,17.4
106,141.12,10.25
107,145.29,4.795
108,144.14,5.675
109,137.82,5.208333333
110,141.15,15.04833333
111,138.9,10.13333333
112,142.87,17.4
113,156.26,3.36
114,148.7,10.45
115,149.76,14.85
116,153.53,18.85
117,158.62,24.55
118,164.72,27.35
119,185.32,15.88
120,183.8,22.64
121,196.19,9.64
122,201.04,17.9
123,213.26,43.7
124,251.75,19.98
125,256.68,16.5
126,263.05,13.94285714
127,259.59,12.74285714
128,268.98,3.222857143
129,261.75,16.34285714
130,263.24,25.58285714
131,269.97,3.142857143
132,248.57,12.78285714
133,234,8.3
134,226.42,21.72
135,225.5,6.335
136,222.2,7.975
137,212.27,15.875
138,184.45,6.875
139,171.34,3.8
140,158.64,0.5
141,145.2,1.2
142,133.65,10.84
143,141.27,6.4
144,131.33,3.06
145,108.81,2.2
146,107.86,14.7
147,109.78,3.8
148,105.28,10.5
149,94.06,0.8
150,88.53,11.1
151,91.65,6.7
152,82.48,3.44
153,79.04,18.24
154,93.48,4.15
155,97.13,7.45
156,103.38,27.65
157,120.19,31.15
158,144.94,1.4
159,143.28,6
160,147.08,5.4
161,137.78,0
162,133.98,2.2
163,125.68,1
164,125.88,4.6
165,119.38,9.1
166,121.78,16.4
167,134.74,6
168,122.5,11.2
169,129.55,19.8
170,141.9,9.2
171,123.45,4.8
172,97.1,7.8
173,103.5,0
174,97.5,0
175,92.1,0
176,92.1,0.4
177,90.3,49.8
178,139.1,3.8
179,138.3,0.8
180,130,7.6
181,121.2,0
182,115.2,0
183,104,0
184,84.2,0
185,75,0
186,70.2,0
187,62.4,0
188,62.4,0
189,62.4,0
190,62.4,0
191,62,0
192,12.2,0
193,8.4,3
194,10.6,3
195,6,0
196,6,0
197,6,0
198,6,0
199,6,0
200,6,0
201,6,0
202,6,3
203,9,9
204,18,2.75
205,20.75,0
206,20.75,0
207,20.75,0.15
208,17.9,0
209,14.9,0
210,14.9,0
211,14.9,0
212,14.9,0
213,14.9,0
214,14.9,0
215,14.9,0
216,14.9,0
217,11.9,0
218,2.9,0
219,0.15,0
220,0.15,0
221,0.15,0
222,0,0
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,0
230,0,0
231,0,0.066666667
232,0.07,0
233,0.07,0
234,0.07,0
235,0.07,0
236,0.07,0
237,0.07,0
238,0.07,0
239,0.07,0
240,0.07,0
241,0.07,0
242,0.07,0
243,0.07,0
244,0.07,0
245,0.07,0
246,0,0
247,0,0
248,0,0
249,0,0
